date,Sentiment score,Relatedness,score
2020/1/8,-75,50,1
2020/1/8,0,20,1
2020/1/8,-10,20,1
2020/1/8,0,60,1
2020/1/8,80,10,1
2020/1/8,-70,30,1
2020/1/8,70,80,1
2020/1/8,-70,90,1
2020/1/8,-70,60,1
2020/1/8,50,30,1
2020/1/8,80,90,1
2020/1/8,50,80,1
2020/1/8,-40,20,1
2020/1/8,80,60,1
2020/1/8,60,70,1
2020/1/8,50,30,1
2020/1/8,50,10,1
2020/1/8,10,30,1
2020/1/8,-80,20,1
2020/1/8,50,80,1
2020/1/8,80,70,1
2020/1/8,60,20,1
2020/1/8,-70,20,1
2020/1/8,40,60,1
2020/1/8,-70,20,1
2020/1/8,80,90,1
2020/1/8,80,60,1
2020/1/8,-70,20,1
2020/1/8,-10,20,1
2020/1/8,-20,50,1
2020/1/8,80,90,1
2020/1/8,-80,90,1
2020/1/8,-70,60,1
2020/1/8,-70,20,1
2020/1/8,50,30,1
2020/1/8,0,50,1
2020/1/8,60,80,1
2020/1/8,-10,30,1
2020/1/8,60,70,1
2020/1/8,-70,20,1
2020/1/8,30,20,1
2020/1/8,-80,20,1
2020/1/8,-80,60,1
2020/1/8,-70,60,1
2020/1/8,-85,95,1
2020/1/8,-80,90,1
2020/1/8,-40,60,1
2020/1/8,10,60,1
2020/1/8,-90,10,1
2020/1/8,-70,80,1
2020/1/8,-80,30,1
2020/1/8,-70,60,1
2020/1/8,50,30,1
2020/1/8,-80,90,1
2020/1/8,-80,40,1
2020/1/8,10,30,1
2020/1/8,-70,85,1
2020/1/8,-70,40,1
2020/1/8,-10,20,1
2020/1/8,-80,10,1
2020/1/8,-75,10,1
2020/1/8,-80,60,1
2020/1/8,10,30,1
2020/1/8,-60,80,1
2020/1/8,-80,60,1
2020/1/8,70,60,1
2020/1/8,-75,60,1
2020/1/8,-70,20,1
2020/1/8,-70,30,1
2020/1/8,-80,40,1
2020/1/8,50,20,1
2020/1/8,20,80,1
2020/1/8,-70,90,1
2020/1/8,40,60,1
2020/1/8,50,70,1
2020/1/8,-80,20,1
2020/1/8,0,10,1
2020/1/8,-60,80,1
2020/1/8,20,40,1
2020/1/8,-60,30,1
2020/1/8,-30,60,1
2020/1/9,-70,40,1
2020/1/9,60,30,1
2020/1/9,-70,80,1
2020/1/9,-60,20,1
2020/1/9,10,30,1
2020/1/9,60,80,1
2020/1/9,-80,70,1
2020/1/9,-70,80,1
2020/1/9,-80,20,1
2020/1/9,0,60,1
2020/1/9,-50,60,1
2020/1/9,70,80,1
2020/1/9,-80,70,1
2020/1/9,-70,30,1
2020/1/9,70,90,1
2020/1/9,-10,30,1
2020/1/9,-80,60,1
2020/1/9,-80,50,1
2020/1/9,0,20,1
2020/1/9,-80,20,1
2020/1/9,-50,70,1
2020/1/9,10,70,1
2020/1/9,0,80,1
2020/1/9,-10,60,1
2020/1/9,-70,40,1
2020/1/9,-70,20,1
2020/1/9,30,10,1
2020/1/9,-70,50,1
2020/1/9,-70,50,1
2020/1/9,-70,80,1
2020/1/9,-90,80,1
2020/1/9,70,60,1
2020/1/9,-70,80,1
2020/1/9,70,85,1
2020/1/9,10,20,1
2020/1/9,-70,60,1
2020/1/9,-60,70,1
2020/1/9,-80,60,1
2020/1/9,70,80,1
2020/1/9,-70,20,1
2020/1/9,-90,10,1
2020/1/9,-60,80,1
2020/1/9,-60,80,1
2020/1/9,-40,60,1
2020/1/9,50,80,1
2020/1/9,-70,30,1
2020/1/9,-70,80,1
2020/1/9,-80,60,1
2020/1/9,-80,70,1
2020/1/9,-75,20,1
2020/1/9,-80,70,1
2020/1/9,80,50,1
2020/1/9,-70,30,1
2020/1/9,60,70,1
2020/1/9,-90,20,1
2020/1/9,10,45,1
2020/1/9,-70,40,1
2020/1/9,-60,80,1
2020/1/9,-30,70,1
2020/1/9,-30,60,1
2020/1/9,20,60,1
2020/1/9,-70,20,1
2020/1/9,80,75,1
2020/1/9,-70,60,1
2020/1/9,50,70,1
2020/1/9,80,70,1
2020/1/9,80,90,1
2020/1/10,50,30,1
2020/1/10,0,50,1
2020/1/10,-80,20,1
2020/1/10,60,75,1
2020/1/10,-70,20,1
2020/1/10,-80,90,1
2020/1/10,-50,20,1
2020/1/10,30,40,1
2020/1/10,-70,30,1
2020/1/10,0,0,1
2020/1/10,-80,10,1
2020/1/10,-50,20,1
2020/1/10,70,50,1
2020/1/10,-50,10,1
2020/1/10,-40,20,1
2020/1/10,80,30,1
2020/1/10,-80,90,1
2020/1/10,60,70,1
2020/1/10,-70,40,1
2020/1/10,-60,30,1
2020/1/10,65,80,1
2020/1/10,10,70,1
2020/1/10,-70,60,1
2020/1/10,0,50,1
2020/1/10,-60,40,1
2020/1/10,-80,20,1
2020/1/10,-70,20,1
2020/1/10,-45,60,1
2020/1/10,-70,80,1
2020/1/10,30,20,1
2020/1/10,-25,70,1
2020/1/10,40,70,1
2020/1/11,0,40,1
2020/1/11,-70,60,1
2020/1/11,30,60,1
2020/1/11,20,70,1
2020/1/11,-30,50,1
2020/1/11,50,80,1
2020/1/11,80,90,1
2020/1/12,-90,75,1
2020/1/12,10,30,1
2020/1/13,70,80,1
2020/1/13,-70,60,1
2020/1/13,-20,60,1
2020/1/13,-10,30,1
2020/1/13,-60,40,1
2020/1/13,60,50,1
2020/1/13,-50,30,1
2020/1/13,-70,30,1
2020/1/13,-60,30,1
2020/1/13,-60,80,1
2020/1/13,-50,80,1
2020/1/13,-70,30,1
2020/1/13,0,20,1
2020/1/13,-80,50,1
2020/1/13,-70,80,1
2020/1/13,-80,30,1
2020/1/13,-80,20,1
2020/1/13,60,20,1
2020/1/13,-70,60,1
2020/1/13,80,60,1
2020/1/13,-20,10,1
2020/1/13,70,80,1
2020/1/13,50,20,1
2020/1/13,0,20,1
2020/1/13,-80,60,1
2020/1/14,-70,60,1
2020/1/14,-75,20,1
2020/1/14,50,30,1
2020/1/14,-80,20,1
2020/1/14,5,10,1
2020/1/14,-50,30,1
2020/1/14,40,20,1
2020/1/14,60,75,1
2020/1/14,-60,30,1
2020/1/14,0,0,1
2020/1/14,20,10,1
2020/1/14,-70,60,1
2020/1/14,80,90,1
2020/1/14,-80,70,1
2020/1/14,-50,20,1
2020/1/14,-70,80,1
2020/1/14,-70,40,1
2020/1/14,-20,60,1
2020/1/14,60,30,1
2020/1/15,-50,30,1
2020/1/15,70,80,1
2020/1/15,40,70,1
2020/1/15,-70,60,1
2020/1/15,-60,70,1
2020/1/15,70,80,1
2020/1/15,80,90,1
2020/1/15,-90,5,1
2020/1/15,50,70,1
2020/1/15,-80,20,1
2020/1/15,-80,60,1
2020/1/15,0,75,1
2020/1/15,-75,60,1
2020/1/15,-80,20,1
2020/1/15,-90,20,1
2020/1/15,40,60,1
2020/1/15,-90,20,1
2020/1/15,-70,20,1
2020/1/15,30,60,1
2020/1/15,70,80,1
2020/1/15,-20,60,1
2020/1/15,60,80,1
2020/1/15,0,20,1
2020/1/16,-80,20,1
2020/1/16,-10,75,1
2020/1/16,-80,90,1
2020/1/16,-80,10,1
2020/1/16,20,60,1
2020/1/16,-20,40,1
2020/1/16,-70,20,1
2020/1/16,10,50,1
2020/1/16,80,90,1
2020/1/16,-80,60,1
2020/1/16,-70,30,1
2020/1/16,50,30,1
2020/1/16,-70,20,1
2020/1/16,-90,10,1
2020/1/16,-80,50,1
2020/1/16,-60,80,1
2020/1/16,75,90,1
2020/1/16,70,50,1
2020/1/16,-80,20,1
2020/1/16,20,40,1
2020/1/16,-50,20,1
2020/1/16,-80,30,1
2020/1/16,50,20,1
2020/1/16,70,80,1
2020/1/16,-70,30,1
2020/1/16,70,80,1
2020/1/16,20,40,1
2020/1/16,-80,70,1
2020/1/16,-80,90,1
2020/1/16,-80,60,1
2020/1/16,-70,60,1
2020/1/16,-80,30,1
2020/1/16,-70,20,1
2020/1/17,70,30,1
2020/1/17,-80,20,1
2020/1/17,-80,30,1
2020/1/17,-80,10,1
2020/1/17,-70,30,1
2020/1/17,70,50,1
2020/1/17,-70,20,1
2020/1/17,-80,20,1
2020/1/17,0,20,1
2020/1/17,-70,30,1
2020/1/17,-70,30,1
2020/1/17,-70,60,1
2020/1/17,-70,60,1
2020/1/17,20,70,1
2020/1/17,-70,50,1
2020/1/18,-70,40,1
2020/1/18,50,80,1
2020/1/18,10,20,1
2020/1/18,0,50,1
2020/1/20,-70,60,1
2020/1/20,-40,10,1
2020/1/20,-70,60,1
2020/1/20,20,80,1
2020/1/20,80,60,1
2020/1/20,60,80,1
2020/1/20,-70,50,1
2020/1/20,-40,10,1
2020/1/20,0,10,1
2020/1/20,60,80,1
2020/1/20,0,10,1
2020/1/20,-70,85,1
2020/1/20,0,50,1
2020/1/20,0,50,1
2020/1/20,50,80,1
2020/1/20,-60,70,1
2020/1/20,-80,60,1
2020/1/20,-80,70,1
2020/1/20,-70,30,1
2020/1/20,-80,20,1
2020/1/20,-60,80,1
2020/1/20,-90,30,1
2020/1/20,-70,60,1
2020/1/20,20,60,1
2020/1/20,-70,30,1
2020/1/20,60,80,1
2020/1/20,-70,60,1
2020/1/21,10,60,1
2020/1/21,50,70,1
2020/1/21,-75,50,1
2020/1/21,-70,30,1
2020/1/21,-80,20,1
2020/1/21,-90,70,1
2020/1/21,-70,30,1
2020/1/21,-70,30,1
2020/1/21,-70,40,1
2020/1/21,-80,70,1
2020/1/21,0,50,1
2020/1/21,-70,60,1
2020/1/21,0,20,1
2020/1/21,-30,10,1
2020/1/21,-60,20,1
2020/1/21,-80,60,1
2020/1/21,30,60,1
2020/1/21,-80,10,1
2020/1/21,-60,30,1
2020/1/21,-80,60,1
2020/1/21,-70,50,1
2020/1/21,-50,30,1
2020/1/21,-80,70,1
2020/1/21,-80,90,1
2020/1/21,50,30,1
2020/1/21,-70,60,1
2020/1/21,-80,10,1
2020/1/21,-75,45,1
2020/1/21,60,80,1
2020/1/21,-60,80,1
2020/1/21,-90,20,1
2020/1/21,-70,40,1
2020/1/21,80,60,1
2020/1/21,-80,10,1
2020/1/21,-80,70,1
2020/1/21,75,80,1
2020/1/21,-50,60,1
2020/1/21,-20,10,1
2020/1/22,-70,20,1
2020/1/22,-70,50,1
2020/1/22,-70,20,1
2020/1/22,25,70,1
2020/1/22,0,20,1
2020/1/22,-80,60,1
2020/1/22,-60,80,1
2020/1/22,5,20,1
2020/1/22,50,20,1
2020/1/22,50,70,1
2020/1/22,-50,60,1
2020/1/22,60,80,1
2020/1/22,80,70,1
2020/1/22,60,80,1
2020/1/22,-70,80,1
2020/1/22,-70,50,1
2020/1/22,-50,20,1
2020/1/22,50,40,1
2020/1/22,-90,10,1
2020/1/22,-80,70,1
2020/1/22,-85,20,1
2020/1/22,-50,60,1
2020/1/22,35,60,1
2020/1/22,-60,30,1
2020/1/22,-90,60,1
2020/1/22,65,60,1
2020/1/22,-90,70,1
2020/1/22,-70,20,1
2020/1/22,-80,30,1
2020/1/22,-40,20,1
2020/1/22,60,70,1
2020/1/22,-80,70,1
2020/1/22,-90,10,1
2020/1/22,70,50,1
2020/1/23,-60,70,1
2020/1/23,-70,10,1
2020/1/23,-10,30,1
2020/1/23,50,60,1
2020/1/23,80,95,1
2020/1/23,-80,10,1
2020/1/23,30,70,1
2020/1/23,-80,90,1
2020/1/23,70,60,1
2020/1/23,-20,10,1
2020/1/23,70,20,1
2020/1/23,-70,30,1
2020/1/23,5,70,1
2020/1/23,-50,20,1
2020/1/23,-80,70,1
2020/1/23,-80,90,1
2020/1/23,0,40,1
2020/1/23,-80,10,1
2020/1/23,80,70,1
2020/1/23,-70,30,1
2020/1/23,-70,30,1
2020/1/23,-70,10,1
2020/1/23,-80,60,1
2020/1/23,-70,60,1
2020/1/23,0,50,1
2020/1/24,60,80,1
2020/1/26,80,60,1
2020/1/26,50,70,1
2020/1/26,80,90,1
2020/1/27,-70,60,1
2020/1/27,80,90,1
2020/1/27,50,60,1
2020/1/27,-60,20,1
2020/1/30,0,20,1
2020/1/30,0,20,1
2020/1/31,-70,50,1
2020/2/1,70,60,1
2020/2/1,-80,70,1
2020/2/1,20,30,1
2020/2/1,80,90,1
2020/2/1,80,90,1
2020/2/1,40,70,1
2020/2/2,70,85,1
2020/2/2,50,70,1
2020/2/2,-70,50,1
2020/2/2,80,60,1
2020/2/2,0,70,1
2020/2/3,-50,70,1
2020/2/3,30,10,1
2020/2/3,30,50,1
2020/2/3,-60,80,1
2020/2/3,-20,40,1
2020/2/3,70,85,1
2020/2/3,-70,40,1
2020/2/3,-80,90,1
2020/2/3,20,10,1
2020/2/3,20,60,1
2020/2/3,70,80,1
2020/2/3,-70,20,1
2020/2/3,-80,60,1
2020/2/3,-80,60,1
2020/2/3,70,85,1
2020/2/3,-70,80,1
2020/2/3,-80,20,1
2020/2/3,50,70,1
2020/2/3,-60,20,1
2020/2/3,-80,90,1
2020/2/3,10,80,1
2020/2/3,80,90,1
2020/2/3,-60,20,1
2020/2/3,80,60,1
2020/2/3,20,30,1
2020/2/3,-70,50,1
2020/2/3,80,60,1
2020/2/3,80,90,1
2020/2/4,-20,50,1
2020/2/4,-50,20,1
2020/2/4,-90,75,1
2020/2/4,50,40,1
2020/2/4,-70,30,1
2020/2/4,20,50,1
2020/2/4,40,60,1
2020/2/4,10,60,1
2020/2/4,-30,60,1
2020/2/4,70,85,1
2020/2/4,-80,95,1
2020/2/4,-80,60,1
2020/2/4,10,30,1
2020/2/4,-80,40,1
2020/2/4,-80,20,1
2020/2/4,10,70,1
2020/2/4,-80,70,1
2020/2/4,-50,20,1
2020/2/4,-80,60,1
2020/2/4,-50,20,1
2020/2/5,-70,30,1
2020/2/5,0,20,1
2020/2/5,10,90,1
2020/2/5,0,10,1
2020/2/5,80,60,1
2020/2/5,-80,60,1
2020/2/5,-60,20,1
2020/2/5,70,80,1
2020/2/5,-80,20,1
2020/2/5,30,80,1
2020/2/5,-80,60,1
2020/2/5,-20,10,1
2020/2/5,0,50,1
2020/2/5,-20,60,1
2020/2/5,50,70,1
2020/2/5,-80,20,1
2020/2/5,80,70,1
2020/2/6,-80,60,1
2020/2/6,-70,20,1
2020/2/6,-70,80,1
2020/2/6,50,75,1
2020/2/6,-70,60,1
2020/2/6,70,80,1
2020/2/6,0,10,1
2020/2/6,-70,60,1
2020/2/6,75,60,1
2020/2/6,20,50,1
2020/2/6,10,30,1
2020/2/6,-70,10,1
2020/2/6,-50,30,1
2020/2/6,-30,60,1
2020/2/6,20,60,1
2020/2/6,-60,20,1
2020/2/6,-20,5,1
2020/2/6,0,50,1
2020/2/6,-50,60,1
2020/2/6,70,90,1
2020/2/6,0,0,1
2020/2/6,-80,60,1
2020/2/6,-70,40,1
2020/2/6,70,50,1
2020/2/6,-80,70,1
2020/2/6,70,80,1
2020/2/6,-80,60,1
2020/2/6,-60,20,1
2020/2/6,80,90,1
2020/2/6,20,70,1
2020/2/6,30,70,1
2020/2/6,-20,50,1
2020/2/6,50,80,1
2020/2/6,70,50,1
2020/2/6,80,20,1
2020/2/7,-80,60,1
2020/2/7,0,10,1
2020/2/7,60,20,1
2020/2/7,-50,70,1
2020/2/7,60,10,1
2020/2/7,-80,60,1
2020/2/7,-80,10,1
2020/2/7,-80,50,1
2020/2/7,60,80,1
2020/2/7,-70,50,1
2020/2/7,50,10,1
2020/2/7,10,20,1
2020/2/7,-80,60,1
2020/2/7,40,60,1
2020/2/7,-60,50,1
2020/2/7,-70,20,1
2020/2/7,-60,20,1
2020/2/7,-70,30,1
2020/2/7,10,20,1
2020/2/7,70,85,1
2020/2/7,-50,30,1
2020/2/7,-70,60,1
2020/2/7,50,10,1
2020/2/7,0,30,1
2020/2/7,80,70,1
2020/2/7,10,30,1
2020/2/8,-70,30,1
2020/2/8,50,60,1
2020/2/9,50,70,1
2020/2/9,50,30,1
2020/2/9,0,80,1
2020/2/9,30,80,1
2020/2/10,-70,20,1
2020/2/10,70,60,1
2020/2/10,-90,10,1
2020/2/10,0,20,1
2020/2/10,-30,60,1
2020/2/10,50,30,1
2020/2/10,-75,60,1
2020/2/10,-60,70,1
2020/2/10,0,20,1
2020/2/10,40,60,1
2020/2/10,80,60,1
2020/2/10,20,60,1
2020/2/10,-80,90,1
2020/2/10,-60,20,1
2020/2/10,-60,20,1
2020/2/10,-80,20,1
2020/2/10,-80,30,1
2020/2/10,-60,10,1
2020/2/10,-80,20,1
2020/2/10,-60,20,1
2020/2/10,-50,30,1
2020/2/10,-70,60,1
2020/2/10,-70,60,1
2020/2/11,-80,60,1
2020/2/11,-60,30,1
2020/2/11,-70,60,1
2020/2/11,-80,20,1
2020/2/11,-60,70,1
2020/2/11,-60,50,1
2020/2/11,-70,30,1
2020/2/11,-60,30,1
2020/2/11,70,80,1
2020/2/11,-70,80,1
2020/2/11,-70,80,1
2020/2/11,-70,30,1
2020/2/11,-50,80,1
2020/2/11,20,60,1
2020/2/11,-70,30,1
2020/2/12,70,80,1
2020/2/12,80,90,1
2020/2/12,50,20,1
2020/2/12,-80,30,1
2020/2/12,10,50,1
2020/2/12,0,50,1
2020/2/12,-80,30,1
2020/2/12,2,80,1
2020/2/12,-90,5,1
2020/2/12,-70,30,1
2020/2/12,-60,20,1
2020/2/12,80,60,1
2020/2/12,50,80,1
2020/2/12,-20,65,1
2020/2/12,-60,80,1
2020/2/12,-80,60,1
2020/2/12,-80,60,1
2020/2/12,70,80,1
2020/2/12,50,10,1
2020/2/12,-80,90,1
2020/2/12,-70,60,1
2020/2/12,-50,20,1
2020/2/12,60,80,1
2020/2/12,-70,30,1
2020/2/12,60,70,1
2020/2/12,-60,30,1
2020/2/12,20,10,1
2020/2/12,0,20,1
2020/2/12,-10,20,1
2020/2/12,-60,30,1
2020/2/12,-70,10,1
2020/2/12,-70,50,1
2020/2/12,70,60,1
2020/2/12,80,60,1
2020/2/12,-80,20,1
2020/2/12,-80,5,1
2020/2/12,-80,20,1
2020/2/12,50,30,1
2020/2/13,-80,70,1
2020/2/13,-80,10,1
2020/2/13,-60,40,1
2020/2/13,-70,80,1
2020/2/13,-60,20,1
2020/2/13,-80,60,1
2020/2/13,0,20,1
2020/2/13,-10,30,1
2020/2/13,-80,70,1
2020/2/13,-90,20,1
2020/2/13,-70,20,1
2020/2/13,20,50,1
2020/2/13,70,80,1
2020/2/13,-50,70,1
2020/2/13,-70,60,1
2020/2/13,60,30,1
2020/2/13,-70,30,1
2020/2/13,-80,30,1
2020/2/13,-70,20,1
2020/2/13,-70,30,1
2020/2/13,-70,40,1
2020/2/13,5,60,1
2020/2/13,-60,20,1
2020/2/13,-30,60,1
2020/2/13,-70,60,1
2020/2/13,-20,10,1
2020/2/13,0,10,1
2020/2/13,-60,40,1
2020/2/13,-60,30,1
2020/2/13,-80,20,1
2020/2/13,-80,30,1
2020/2/13,-70,10,1
2020/2/13,-80,10,1
2020/2/13,-60,25,1
2020/2/13,-70,20,1
2020/2/13,80,60,1
2020/2/14,-30,20,1
