date,score,Sentiment score,Relatedness
2020/3/19,2,80,90
2020/3/19,0,-70,80
2020/3/19,5,70,60
2020/3/19,8,-70,85
2020/3/19,9,-15,65
2020/3/19,4,-70,65
2020/3/19,4,50,80
2020/3/19,6,85,70
2020/3/19,3,-80,60
2020/3/19,2,40,70
2020/3/19,5,-70,80
2020/3/19,8,60,75
2020/3/19,2,-10,20
2020/3/19,5,60,80
2020/3/19,1,-70,80
2020/3/19,13,30,20
2020/3/19,1,40,70
2020/3/19,0,20,40
2020/3/19,5,-70,60
2020/3/19,6,-70,80
2020/3/19,6,75,80
2020/3/19,0,20,60
2020/3/19,9,20,80
2020/3/19,3,-70,80
2020/3/19,12,20,75
2020/3/19,1,80,90
2020/3/19,7,0,80
2020/3/19,0,30,20
2020/3/19,1,70,85
2020/3/19,0,80,50
2020/3/19,2,-70,80
2020/3/19,0,20,30
2020/3/19,0,65,75
2020/3/19,0,50,20
2020/3/19,1,-90,80
2020/3/19,0,-80,90
2020/3/19,0,-75,20
2020/3/19,2,50,60
2020/3/19,5,-70,65
2020/3/19,4,10,80
2020/3/19,6,75,40
2020/3/19,0,30,40
2020/3/19,3,-70,80
2020/3/19,1,0,5
2020/3/19,7,-70,80
2020/3/19,1,-40,10
2020/3/19,3,10,20
2020/3/19,15,-40,60
2020/3/19,1,60,80
2020/3/19,12,-90,80
2020/3/19,6,-70,80
2020/3/19,7,80,90
2020/3/19,0,75,90
2020/3/19,1,-70,60
2020/3/19,0,-10,50
2020/3/19,2,20,70
2020/3/19,2,-70,85
2020/3/19,0,-50,70
2020/3/19,3,-70,60
2020/3/19,0,-30,70
2020/3/19,5,60,85
2020/3/19,2,-75,90
2020/3/20,0,50,30
2020/3/20,3,-70,40
2020/3/20,5,-60,70
2020/3/20,10,80,70
2020/3/20,0,-60,70
2020/3/20,7,80,70
2020/3/20,2,21,89
2020/3/20,9,-60,80
2020/3/20,9,-70,80
2020/3/20,2,-70,30
2020/3/20,7,-70,10
2020/3/20,10,-70,90
2020/3/20,3,50,80
2020/3/20,14,-60,90
2020/3/20,9,-80,60
2020/3/20,2,-75,60
2020/3/20,4,-85,70
2020/3/20,10,-80,90
2020/3/20,0,80,90
2020/3/20,9,50,75
2020/3/20,6,-50,80
2020/3/20,9,-70,90
2020/3/20,2,-70,85
2020/3/20,4,10,30
2020/3/20,4,70,85
2020/3/20,4,60,80
2020/3/20,2,-60,75
2020/3/20,5,70,50
2020/3/20,3,40,70
2020/3/20,1,-80,65
2020/3/20,1,-20,60
2020/3/20,2,-70,80
2020/3/20,4,20,70
2020/3/20,4,-40,60
2020/3/20,9,-80,40
2020/3/20,1,-70,40
2020/3/20,0,0,20
2020/3/20,2,-70,85
2020/3/20,2,10,20
2020/3/20,5,-75,85
2020/3/20,3,-40,60
2020/3/20,0,-70,85
2020/3/20,4,-70,90
2020/3/20,11,75,90
2020/3/20,7,60,20
2020/3/20,10,70,90
2020/3/20,0,-70,30
2020/3/20,0,-30,50
2020/3/20,3,-70,60
2020/3/20,3,70,90
2020/3/20,2,20,70
2020/3/20,4,-80,70
2020/3/20,2,5,20
2020/3/20,4,10,85
2020/3/20,0,-30,60
2020/3/20,0,70,60
2020/3/20,1,-70,20
2020/3/20,5,70,90
2020/3/20,1,70,80
2020/3/20,2,10,60
2020/3/20,2,-80,75
2020/3/20,3,-70,80
2020/3/20,1,20,75
2020/3/20,8,-85,90
2020/3/20,3,30,20
2020/3/20,1,65,80
2020/3/20,0,10,60
2020/3/20,3,70,85
2020/3/20,10,10,20
2020/3/20,6,-30,70
2020/3/20,5,8,60
2020/3/20,6,-70,10
2020/3/20,6,-60,45
2020/3/20,0,-40,20
2020/3/20,5,50,10
2020/3/20,6,10,80
2020/3/20,3,10,20
2020/3/20,6,60,80
2020/3/20,9,40,70
2020/3/20,1,-70,20
2020/3/20,1,20,70
2020/3/20,6,80,90
2020/3/20,3,60,80
2020/3/20,11,70,80
2020/3/20,3,-65,20
2020/3/20,4,60,80
2020/3/20,11,-80,60
2020/3/20,2,-70,30
2020/3/20,2,-10,20
2020/3/20,11,-85,70
2020/3/20,2,70,80
2020/3/20,2,60,80
2020/3/20,16,-70,30
2020/3/20,1,20,60
2020/3/20,13,30,60
2020/3/20,9,-70,85
2020/3/20,0,-80,70
2020/3/20,0,-80,60
2020/3/20,1,-10,30
2020/3/20,3,40,60
2020/3/20,0,25,50
2020/3/20,1,-70,30
2020/3/20,1,30,70
2020/3/20,1,-50,70
2020/3/20,1,50,80
2020/3/20,23,-80,50
2020/3/20,4,-30,60
2020/3/20,7,-60,80
2020/3/20,3,-60,20
2020/3/21,3,75,10
2020/3/21,0,-10,30
2020/3/21,3,80,90
2020/3/21,1,-20,40
2020/3/21,1,20,70
2020/3/21,1,-80,90
2020/3/21,6,-70,60
2020/3/21,1,75,90
2020/3/21,7,70,85
2020/3/21,1,30,60
2020/3/21,4,-60,75
2020/3/21,10,0,70
2020/3/21,1,-55,20
2020/3/21,15,80,60
2020/3/21,7,-50,70
2020/3/21,3,-80,90
2020/3/21,5,80,60
2020/3/21,17,20,80
2020/3/21,6,20,70
2020/3/21,10,-70,80
2020/3/21,0,70,80
2020/3/21,9,60,50
2020/3/21,2,-80,90
2020/3/21,0,20,40
2020/3/21,7,10,20
2020/3/21,2,-60,80
2020/3/21,10,-10,70
2020/3/21,4,-70,90
2020/3/21,5,-70,30
2020/3/21,10,-70,50
2020/3/21,0,-70,60
2020/3/21,1,-80,60
2020/3/21,0,-70,30
2020/3/21,1,70,20
2020/3/21,13,-85,10
2020/3/21,0,65,80
2020/3/21,3,-60,40
2020/3/21,3,-75,80
2020/3/21,1,50,80
2020/3/21,2,-40,60
2020/3/21,1,-70,50
2020/3/21,2,-70,85
2020/3/21,0,-70,75
2020/3/21,1,-70,20
2020/3/21,0,-70,40
2020/3/21,15,40,60
2020/3/21,5,-30,10
2020/3/21,1,-80,90
2020/3/21,0,-20,40
2020/3/21,3,-20,70
2020/3/21,1,-60,70
2020/3/21,2,-80,90
2020/3/21,0,-80,60
2020/3/21,4,-50,80
2020/3/21,1,-50,60
2020/3/21,1,-70,40
2020/3/21,5,-60,10
2020/3/21,1,-10,30
2020/3/21,3,-40,70
2020/3/21,0,-50,60
2020/3/21,1,-20,60
2020/3/21,3,-80,90
2020/3/21,3,-30,10
2020/3/21,1,10,50
2020/3/21,3,80,60
2020/3/21,0,-70,80
2020/3/21,8,-80,70
2020/3/21,2,-40,80
2020/3/21,1,-65,30
2020/3/21,1,80,20
2020/3/21,7,-75,60
2020/3/21,1,10,60
2020/3/21,5,-40,60
2020/3/21,0,-80,10
2020/3/21,0,-70,60
2020/3/21,10,-70,20
2020/3/21,0,-15,40
2020/3/21,2,10,60
2020/3/21,0,-80,70
2020/3/21,3,50,10
2020/3/21,5,10,70
2020/3/21,1,30,70
2020/3/21,5,10,20
2020/3/21,1,-60,85
2020/3/21,0,-60,30
2020/3/21,1,25,70
2020/3/21,6,20,70
2020/3/21,1,75,90
2020/3/21,0,-20,40
2020/3/21,6,80,90
2020/3/21,6,-80,60
2020/3/21,1,20,60
2020/3/21,1,-70,10
2020/3/21,1,-85,15
2020/3/21,0,-50,80
2020/3/21,2,30,60
2020/3/21,2,60,80
2020/3/21,0,60,40
2020/3/21,2,-75,60
2020/3/21,0,-70,60
2020/3/21,0,70,90
2020/3/21,0,-85,70
2020/3/21,1,-40,75
2020/3/21,3,-80,30
2020/3/21,0,25,60
2020/3/21,2,-70,80
2020/3/21,8,-70,40
2020/3/21,3,70,85
2020/3/21,2,45,80
2020/3/21,0,-75,30
2020/3/21,1,-75,10
2020/3/21,0,-60,20
2020/3/21,2,40,60
2020/3/21,10,-80,10
2020/3/21,1,-60,70
2020/3/21,8,-90,80
2020/3/21,1,-40,70
2020/3/21,0,20,60
2020/3/21,0,-85,20
2020/3/21,5,60,80
2020/3/21,0,0,50
2020/3/22,4,-80,70
2020/3/22,5,-85,30
2020/3/22,8,50,75
2020/3/22,1,60,20
2020/3/22,0,45,75
2020/3/22,0,-30,60
2020/3/22,3,-80,60
2020/3/22,0,70,80
2020/3/22,1,-80,20
2020/3/22,2,80,70
2020/3/22,1,-70,50
2020/3/22,4,-70,80
2020/3/22,0,25,70
2020/3/22,6,-65,30
2020/3/22,8,-60,20
2020/3/22,5,-50,25
2020/3/22,0,10,70
2020/3/22,0,-10,50
2020/3/22,11,-80,20
2020/3/22,1,10,30
2020/3/22,4,10,20
2020/3/22,1,75,85
2020/3/22,4,-65,75
2020/3/22,0,-80,50
2020/3/22,0,50,70
2020/3/22,0,15,30
2020/3/22,1,80,50
2020/3/22,5,-10,30
2020/3/22,6,-60,20
2020/3/22,5,20,75
2020/3/22,0,-70,60
2020/3/22,3,70,90
2020/3/22,0,5,20
2020/3/22,1,20,10
2020/3/22,3,-25,70
2020/3/22,0,-40,60
2020/3/22,1,-70,65
2020/3/22,0,70,50
2020/3/22,0,-10,70
2020/3/22,2,-70,50
2020/3/22,1,20,60
2020/3/22,2,55,70
2020/3/22,0,10,70
2020/3/22,0,40,60
2020/3/22,13,70,90
2020/3/22,9,80,90
2020/3/22,0,60,75
2020/3/22,6,-80,90
2020/3/22,9,-30,45
2020/3/22,7,-65,85
2020/3/22,1,-40,60
2020/3/22,3,80,90
2020/3/22,3,-70,90
2020/3/22,1,-70,60
2020/3/22,1,-40,60
2020/3/22,13,-60,70
2020/3/22,0,-70,75
2020/3/22,5,-50,70
2020/3/22,0,-60,30
2020/3/22,10,-40,70
2020/3/22,1,15,20
2020/3/22,6,-60,20
2020/3/22,1,-20,60
2020/3/22,3,10,45
2020/3/22,3,20,70
2020/3/22,0,-70,20
2020/3/22,11,65,70
2020/3/22,1,50,80
2020/3/22,1,30,70
2020/3/22,0,65,70
2020/3/22,1,-20,60
2020/3/22,1,-60,70
2020/3/22,6,60,80
2020/3/22,6,60,75
2020/3/22,3,70,20
2020/3/22,4,-30,70
2020/3/22,2,40,75
2020/3/22,6,50,70
2020/3/22,1,10,90
2020/3/22,1,60,80
2020/3/22,4,70,90
2020/3/22,7,20,60
2020/3/22,1,70,85
2020/3/22,4,-70,20
2020/3/22,3,-70,50
2020/3/22,0,-50,20
2020/3/22,3,-70,85
2020/3/22,0,-70,80
2020/3/22,5,50,70
2020/3/23,24,70,90
2020/3/23,0,5,20
2020/3/23,3,-20,30
2020/3/23,0,5,20
2020/3/23,0,10,30
2020/3/23,13,-80,90
2020/3/23,5,70,85
2020/3/23,5,-70,60
2020/3/23,6,-70,50
2020/3/23,7,-70,60
2020/3/23,0,60,75
2020/3/23,1,40,60
2020/3/23,1,-20,60
2020/3/23,1,20,60
2020/3/23,4,-30,20
2020/3/23,1,-60,25
2020/3/23,6,-40,20
2020/3/23,3,-70,60
2020/3/23,7,-60,30
2020/3/23,0,-60,20
2020/3/23,10,0,20
2020/3/23,3,50,20
2020/3/23,2,60,75
2020/3/23,8,-70,85
2020/3/23,1,10,80
2020/3/23,0,75,70
2020/3/23,8,-80,75
2020/3/23,3,-60,80
2020/3/23,6,20,90
2020/3/23,0,50,20
2020/3/23,1,-40,65
2020/3/23,14,-75,60
2020/3/23,5,-80,60
2020/3/23,0,10,20
2020/3/23,1,-70,80
2020/3/23,6,50,75
2020/3/23,0,70,50
2020/3/23,0,-65,80
2020/3/23,0,10,50
2020/3/23,4,40,80
2020/3/23,2,40,85
2020/3/23,1,-60,30
2020/3/23,0,-20,60
2020/3/23,1,-20,60
2020/3/23,4,30,60
2020/3/23,3,10,60
2020/3/23,0,-40,60
2020/3/23,1,-10,60
2020/3/23,1,-40,60
2020/3/23,1,-40,20
2020/3/23,0,70,80
2020/3/23,5,-75,40
2020/3/23,2,-40,60
2020/3/23,1,-50,70
2020/3/23,0,-70,20
2020/3/23,5,-75,50
2020/3/23,1,-5,20
2020/3/23,0,70,80
2020/3/23,8,10,50
2020/3/23,4,60,70
2020/3/23,1,70,80
2020/3/23,6,30,10
2020/3/23,1,60,80
2020/3/23,7,60,70
2020/3/23,0,-80,95
2020/3/23,0,60,20
2020/3/23,0,60,40
2020/3/23,2,30,60
2020/3/23,1,70,60
2020/3/23,1,75,80
2020/3/23,2,65,85
2020/3/23,2,70,60
2020/3/23,9,-40,75
2020/3/23,8,10,70
2020/3/23,2,70,50
2020/3/23,1,60,70
2020/3/23,0,-70,20
2020/3/23,0,-60,70
2020/3/23,3,-75,40
2020/3/23,1,-65,80
2020/3/23,1,20,70
2020/3/23,0,0,20
2020/3/23,0,0,20
2020/3/23,1,80,90
2020/3/23,1,10,80
2020/3/23,5,70,80
2020/3/23,2,80,70
2020/3/23,1,80,90
2020/3/23,1,-70,80
2020/3/23,0,70,90
2020/3/23,3,-10,20
2020/3/23,1,35,45
2020/3/23,2,80,20
2020/3/23,1,-40,80
2020/3/23,1,80,60
2020/3/23,2,20,60
2020/3/23,1,-80,95
2020/3/23,5,-10,70
2020/3/23,7,10,20
2020/3/23,7,50,80
2020/3/23,7,-30,10
2020/3/23,9,80,60
2020/3/24,12,80,60
2020/3/24,8,-80,90
2020/3/24,2,80,60
2020/3/24,5,60,80
2020/3/24,6,70,60
2020/3/24,2,25,80
2020/3/24,2,80,90
2020/3/24,6,70,80
2020/3/24,13,-60,40
2020/3/24,4,-5,70
2020/3/24,3,-80,90
2020/3/24,5,-50,20
2020/3/24,1,-60,70
2020/3/24,16,-30,60
2020/3/24,0,-80,60
2020/3/24,6,-80,60
2020/3/24,8,-65,75
2020/3/24,16,-75,60
2020/3/24,1,20,80
2020/3/24,6,60,80
2020/3/24,7,-60,80
2020/3/24,0,-10,40
2020/3/24,1,50,20
2020/3/24,8,-70,60
2020/3/24,10,-80,50
2020/3/24,4,30,60
2020/3/24,7,-50,30
2020/3/24,5,80,90
2020/3/24,6,15,80
2020/3/24,4,60,80
2020/3/24,13,-70,90
2020/3/24,2,-80,60
2020/3/24,0,70,85
2020/3/24,0,-60,80
2020/3/24,8,-60,80
2020/3/24,3,75,85
2020/3/24,0,50,80
2020/3/24,1,50,70
2020/3/24,2,60,40
2020/3/24,1,70,80
2020/3/24,5,70,80
2020/3/24,5,50,70
2020/3/24,8,70,85
2020/3/24,4,10,30
2020/3/24,3,-65,30
2020/3/24,0,75,90
2020/3/24,5,60,75
2020/3/24,5,60,80
2020/3/24,5,-10,60
2020/3/24,7,-70,60
2020/3/24,17,-80,50
2020/3/24,3,-60,70
2020/3/24,3,70,20
2020/3/24,3,-60,80
2020/3/24,1,-70,40
2020/3/24,3,-30,70
2020/3/24,2,-30,60
2020/3/24,1,-90,20
2020/3/24,8,-45,60
2020/3/24,3,70,85
2020/3/24,6,70,80
2020/3/24,3,70,80
2020/3/24,4,60,80
2020/3/24,9,50,70
2020/3/24,0,10,45
2020/3/24,0,-60,70
2020/3/24,3,-65,45
2020/3/24,9,-10,40
2020/3/24,6,-40,20
2020/3/24,9,70,80
2020/3/24,0,-70,80
2020/3/24,7,10,80
2020/3/24,5,10,50
2020/3/24,2,-40,15
2020/3/24,6,-80,20
2020/3/24,4,60,80
2020/3/24,3,80,85
2020/3/24,1,70,50
2020/3/24,2,30,60
2020/3/24,0,-20,80
2020/3/24,0,20,10
2020/3/24,1,60,80
2020/3/24,2,60,80
2020/3/24,0,70,90
2020/3/24,3,0,85
2020/3/24,1,60,70
2020/3/24,0,50,70
2020/3/24,1,60,80
2020/3/24,2,10,40
2020/3/24,0,-70,60
2020/3/24,5,40,80
2020/3/24,0,20,50
2020/3/24,4,70,85
2020/3/24,7,65,80
2020/3/24,5,10,40
2020/3/24,2,60,75
2020/3/24,2,70,50
2020/3/24,3,70,80
2020/3/24,0,75,90
2020/3/24,3,80,90
2020/3/24,1,60,80
2020/3/24,2,80,60
2020/3/24,10,-50,10
2020/3/24,12,-80,20
2020/3/24,15,-75,45
2020/3/24,11,-70,30
2020/3/24,1,65,75
2020/3/24,4,-80,30
2020/3/24,1,30,60
2020/3/24,2,50,75
2020/3/24,1,50,20
2020/3/24,3,10,70
2020/3/24,0,50,70
2020/3/24,5,20,60
2020/3/24,1,-10,75
2020/3/24,1,10,20
2020/3/24,0,-70,65
2020/3/24,1,80,60
2020/3/24,0,10,60
2020/3/24,0,70,90
2020/3/24,2,75,90
2020/3/24,1,20,40
2020/3/24,1,60,40
2020/3/24,3,-70,80
2020/3/24,6,70,50
2020/3/24,0,10,50
2020/3/24,0,-10,60
2020/3/24,1,20,60
2020/3/24,0,-30,10
2020/3/24,0,80,90
2020/3/24,1,-70,60
2020/3/24,2,-60,30
2020/3/24,1,80,70
2020/3/24,0,-60,20
2020/3/24,0,40,70
2020/3/24,0,-40,10
2020/3/24,0,50,70
2020/3/24,0,50,80
2020/3/24,2,50,75
2020/3/24,7,-80,20
2020/3/24,2,-80,90
2020/3/24,5,-70,80
2020/3/24,1,-30,50
2020/3/24,2,70,90
2020/3/24,0,-60,70
2020/3/24,2,80,70
2020/3/24,1,5,70
2020/3/24,0,-10,30
2020/3/24,0,20,60
2020/3/24,0,20,60
2020/3/24,1,70,85
2020/3/24,0,-70,90
2020/3/24,1,20,50
2020/3/24,7,70,80
2020/3/24,1,50,80
2020/3/24,2,-70,85
2020/3/24,3,-70,30
2020/3/24,0,-70,50
2020/3/24,0,-20,30
2020/3/24,0,75,90
2020/3/24,0,-80,90
2020/3/24,0,-40,70
2020/3/24,1,-60,80
2020/3/24,0,-60,40
2020/3/24,2,-80,60
2020/3/24,0,-80,20
2020/3/24,5,-80,10
2020/3/24,7,-90,5
2020/3/24,0,20,70
2020/3/24,0,-10,20
2020/3/24,6,60,90
2020/3/24,0,5,30
2020/3/24,0,60,80
2020/3/24,1,20,70
2020/3/24,2,10,30
2020/3/24,1,60,40
2020/3/24,0,20,80
2020/3/24,6,-70,20
2020/3/24,0,70,85
2020/3/24,0,30,70
2020/3/24,2,-80,30
2020/3/24,1,-70,50
2020/3/24,0,70,85
2020/3/24,0,-9,67
2020/3/24,1,-70,20
2020/3/24,0,20,70
2020/3/24,0,-50,60
2020/3/24,0,-20,60
2020/3/24,1,75,60
2020/3/24,0,70,80
2020/3/24,0,70,80
2020/3/24,1,50,30
2020/3/24,0,50,80
2020/3/24,0,-55,75
2020/3/24,2,75,90
2020/3/24,1,60,80
2020/3/24,3,80,90
2020/3/24,0,70,80
2020/3/24,2,70,80
2020/3/24,1,70,80
2020/3/24,0,70,90
2020/3/24,0,60,20
2020/3/24,2,45,75
2020/3/24,2,75,90
2020/3/24,1,60,80
2020/3/24,1,60,70
2020/3/24,0,70,85
2020/3/24,4,20,60
2020/3/24,1,10,30
2020/3/24,3,30,50
2020/3/24,1,70,85
2020/3/24,0,0,10
2020/3/24,0,10,40
2020/3/24,1,-60,70
2020/3/24,0,70,90
2020/3/24,2,-75,85
2020/3/24,3,50,80
2020/3/24,4,70,80
2020/3/24,1,-70,80
2020/3/24,0,10,40
2020/3/24,4,-70,20
2020/3/24,1,60,80
2020/3/24,10,75,60
2020/3/24,4,-30,70
2020/3/24,11,70,85
2020/3/24,3,-20,80
2020/3/24,2,-30,60
2020/3/24,3,-75,60
2020/3/24,1,60,80
2020/3/24,0,5,60
2020/3/24,2,-70,20
2020/3/24,0,20,60
2020/3/24,3,70,85
2020/3/24,1,10,60
2020/3/24,0,50,10
2020/3/24,1,-60,30
2020/3/24,0,-15,60
2020/3/24,0,80,90
2020/3/24,3,-30,60
2020/3/24,1,-70,45
2020/3/24,0,-75,80
2020/3/24,0,-70,60
2020/3/24,0,30,70
2020/3/24,2,60,75
2020/3/24,1,-25,60
2020/3/24,2,40,80
2020/3/24,1,20,60
2020/3/24,0,-70,60
2020/3/24,0,60,80
2020/3/24,5,60,80
2020/3/24,0,-85,20
2020/3/24,2,70,90
2020/3/24,7,-70,80
2020/3/24,0,80,70
2020/3/25,0,50,75
2020/3/25,2,-80,50
2020/3/25,2,20,60
2020/3/25,13,-60,80
2020/3/25,1,60,80
2020/3/25,4,50,70
2020/3/25,1,-70,60
2020/3/25,0,70,90
2020/3/25,5,70,60
2020/3/25,10,-70,80
2020/3/25,0,-70,40
2020/3/25,7,35,70
2020/3/25,1,75,90
2020/3/25,0,50,80
2020/3/25,6,-80,60
2020/3/25,1,60,80
2020/3/25,6,60,70
2020/3/25,3,50,80
2020/3/25,9,70,85
2020/3/25,9,-60,30
2020/3/25,14,20,60
2020/3/25,10,40,80
2020/3/25,2,20,70
2020/3/25,3,-40,30
2020/3/25,0,70,80
2020/3/25,2,-40,70
2020/3/25,4,10,30
2020/3/25,10,60,80
2020/3/25,15,-80,70
2020/3/25,0,-40,30
2020/3/25,1,-70,30
2020/3/25,13,-50,80
2020/3/25,1,85,90
2020/3/25,0,-30,60
2020/3/25,3,-70,80
2020/3/25,10,75,50
2020/3/25,0,10,60
2020/3/25,1,-50,30
2020/3/25,7,50,70
2020/3/25,8,75,85
2020/3/25,13,-80,90
2020/3/25,0,25,60
2020/3/25,1,60,70
2020/3/25,6,10,60
2020/3/25,0,80,70
2020/3/25,14,-65,80
2020/3/25,2,60,70
2020/3/25,2,-60,80
2020/3/25,3,-50,80
2020/3/25,0,20,60
2020/3/25,1,80,70
2020/3/25,4,70,80
2020/3/25,1,50,70
2020/3/25,7,60,80
2020/3/25,14,-60,70
2020/3/25,5,10,60
2020/3/25,2,50,70
2020/3/25,2,-10,80
2020/3/25,14,-70,80
2020/3/25,2,50,80
2020/3/25,0,-65,15
2020/3/25,1,40,60
2020/3/25,5,-60,80
2020/3/25,5,10,80
2020/3/25,7,-20,75
2020/3/25,10,-70,90
2020/3/25,13,-70,60
2020/3/25,3,-10,40
2020/3/25,5,-70,60
2020/3/25,4,70,80
2020/3/25,1,40,70
2020/3/25,1,60,75
2020/3/25,3,-70,60
2020/3/25,4,-75,90
2020/3/25,12,-70,80
2020/3/25,1,-70,20
2020/3/25,1,-50,30
2020/3/25,0,10,80
2020/3/25,3,0,20
2020/3/25,0,50,80
2020/3/25,0,-10,60
2020/3/25,4,-70,60
2020/3/25,0,-10,70
2020/3/25,3,65,80
2020/3/25,0,-70,25
2020/3/25,0,10,50
2020/3/25,0,10,5
2020/3/25,0,-20,60
2020/3/25,11,-50,90
2020/3/25,0,-30,40
2020/3/25,0,50,80
2020/3/25,6,10,80
2020/3/25,0,-50,20
2020/3/25,1,0,70
2020/3/25,8,-70,80
2020/3/25,0,-70,60
2020/3/25,0,40,60
2020/3/25,0,80,90
2020/3/25,8,-70,60
2020/3/25,0,20,70
2020/3/25,2,70,90
2020/3/25,3,60,80
2020/3/25,0,5,70
2020/3/25,1,50,70
2020/3/25,3,-85,30
2020/3/25,2,65,80
2020/3/25,4,-75,80
2020/3/25,0,-20,60
2020/3/25,2,-40,70
2020/3/25,1,30,60
2020/3/25,2,60,70
2020/3/25,0,-50,70
2020/3/25,1,10,70
2020/3/25,4,-80,60
2020/3/25,1,80,90
2020/3/25,7,75,85
2020/3/25,4,60,80
2020/3/25,1,70,85
2020/3/25,0,60,30
2020/3/25,0,-85,70
2020/3/25,2,-80,40
2020/3/25,4,70,80
2020/3/25,0,80,75
2020/3/25,1,80,90
2020/3/25,0,-30,70
2020/3/25,0,-30,70
2020/3/25,0,20,60
2020/3/25,1,85,90
2020/3/25,0,10,60
2020/3/25,1,-70,20
2020/3/25,0,50,85
2020/3/25,3,-20,60
2020/3/25,5,-50,70
2020/3/25,3,-50,60
2020/3/25,0,-20,60
2020/3/25,0,-75,30
2020/3/25,2,-70,60
