date,Response
2020-01-24 13:29:00,"Sentiment score: 50
Relatedness: 30"
2020-01-25 13:49:00,"Sentiment score: 70
Relatedness: 90"
2020-01-25 14:30:00,"Sentiment score: 80
Relatedness: 50"
2020-01-29 21:04:00,"Sentiment score: -30
Relatedness: 60"
2020-01-29 21:08:00,"Sentiment score: -70
Relatedness: 20"
2020-01-31 22:46:00,"Sentiment score: 70
Relatedness: 60"
2020-02-03 09:28:00,"Sentiment score: -75
Relatedness: 30"
2020-02-04 23:20:00,"Sentiment score: 70
Relatedness: 90"
2020-02-05 00:21:00,"Sentiment score: -70
Relatedness: 90"
2020-02-06 07:42:00,"Sentiment score: -70
Relatedness: 90"
2020-02-06 14:58:00,"Sentiment score: 25
Relatedness: 10"
2020-02-07 12:06:00,"Sentiment score: -60
Relatedness: 20"
2020-02-07 21:19:00,"Sentiment score: -20
Relatedness: 50"
2020-02-10 10:01:00,"Sentiment score: 4
Relatedness: 30"
2020-02-10 14:45:00,"Sentiment score: 50
Relatedness: 80"
2020-02-10 18:46:00,"Sentiment score: 70
Relatedness: 50"
2020-02-11 13:20:00,"Sentiment score: 60
Relatedness: 20"
2020-02-11 15:15:00,"Sentiment score: 60
Relatedness: 40"
2020-02-12 11:41:00,"Sentiment score: -70
Relatedness: 80"
2020-02-12 14:10:00,"Sentiment score: -70
Relatedness: 90"
2020-02-12 16:24:00,"Sentiment score: -80
Relatedness: 60"
2020-02-13 07:48:00,"Sentiment score: 50
Relatedness: 70"
2020-02-13 10:16:00,"Sentiment score: 70
Relatedness: 80"
2020-02-13 22:26:00,"Sentiment score: 5
Relatedness: 80"
2020-02-14 11:14:00,"Sentiment score: -30
Relatedness: 60"
2020-02-14 13:55:00,"Sentiment score: 10
Relatedness: 20"
2020-02-14 21:11:00,"Sentiment score: -10
Relatedness: 60"
2020-02-16 00:28:00,"Sentiment score: 70
Relatedness: 85"
2020-02-17 11:48:00,"Sentiment score: -60
Relatedness: 20"
2020-02-17 14:35:00,"Sentiment score: -80
Relatedness: 60"
2020-02-18 14:01:00,"Sentiment score: -80
Relatedness: 60"
2020-02-19 06:01:00,"Sentiment score: 50
Relatedness: 80"
2020-02-20 10:50:00,"Sentiment score: -50
Relatedness: 30"
2020-02-20 13:13:00,"Sentiment score: 50
Relatedness: 70"
2020-02-20 20:26:00,"Sentiment score: 0
Relatedness: 40"
2020-02-20 20:53:00,"Sentiment score: 0
Relatedness: 60"
2020-02-20 21:44:00,"Sentiment score: 0
Relatedness: 50"
2020-02-20 21:47:00,"Sentiment score: 0
Relatedness: 70"
2020-02-20 22:59:00,"Sentiment score: -85
Relatedness: 90"
2020-02-20 23:16:00,"Sentiment score: 80
Relatedness: 60"
2020-02-21 11:05:00,"Sentiment score: 0
Relatedness: 20"
2020-02-22 08:57:00,"Sentiment score: 65
Relatedness: 20"
2020-02-22 14:57:00,"Sentiment score: 0
Relatedness: 20"
2020-02-22 17:23:00,"Sentiment score: -20
Relatedness: 60"
2020-02-22 18:33:00,"Sentiment score: 0
Relatedness: 20"
2020-02-24 19:44:00,"Sentiment score: 60
Relatedness: 80"
2020-02-24 22:44:00,"Sentiment score: -50
Relatedness: 60"
2020-02-25 08:32:00,"Sentiment score: 50
Relatedness: 70"
2020-02-25 11:03:00,"Sentiment score: -50
Relatedness: 20"
2020-02-25 11:41:00,"Sentiment score: -80
Relatedness: 90"
2020-02-26 00:59:00,"Sentiment score: 0
Relatedness: 20"
2020-02-26 01:38:00,"Sentiment score: -70
Relatedness: 80"
2020-02-26 05:50:00,"Sentiment score: 0
Relatedness: 50"
2020-02-27 11:13:00,"Sentiment score: -10
Relatedness: 30"
2020-02-27 15:57:00,"Sentiment score: 0
Relatedness: 80"
2020-02-27 18:40:00,"Sentiment score: -50
Relatedness: 30"
2020-02-27 21:38:00,"Sentiment score: 60
Relatedness: 90"
2020-02-28 12:11:00,"Sentiment score: 0
Relatedness: 90"
2020-02-29 10:19:00,"Sentiment score: -70
Relatedness: 50"
2020-02-29 10:47:00,"Sentiment score: -80
Relatedness: 20"
2020-03-01 10:28:00,"Sentiment score: 60
Relatedness: 90"
2020-03-01 12:47:00,"Sentiment score: 0
Relatedness: 10"
2020-03-02 01:21:00,"Sentiment score: -85
Relatedness: 95"
2020-03-02 10:43:00,"Sentiment score: 0
Relatedness: 20"
2020-03-02 20:36:00,"Sentiment score: -80
Relatedness: 90"
2020-03-03 09:42:00,"Sentiment score: 70
Relatedness: 90"
2020-03-03 09:44:00,"Sentiment score: -70
Relatedness: 50"
2020-03-03 09:48:00,"Sentiment score: -50
Relatedness: 10"
2020-03-03 10:19:00,"Sentiment score: -80
Relatedness: 60"
2020-03-03 10:19:00,"Sentiment score: 30
Relatedness: 65"
2020-03-03 10:29:00,"Sentiment score: -80
Relatedness: 50"
2020-03-03 10:32:00,"Sentiment score: -80
Relatedness: 50"
2020-03-03 11:11:00,"Sentiment score: -70
Relatedness: 80"
2020-03-03 11:13:00,"Sentiment score: 80
Relatedness: 70"
2020-03-03 11:20:00,"Sentiment score: -80
Relatedness: 70"
2020-03-03 11:42:00,"Sentiment score: 0
Relatedness: 30"
2020-03-03 12:42:00,"Sentiment score: 20
Relatedness: 50"
2020-03-03 13:56:00,"Sentiment score: -30
Relatedness: 50"
2020-03-03 14:36:00,"Sentiment score: -80
Relatedness: 50"
2020-03-03 14:49:00,"Sentiment score: 50
Relatedness: 70"
2020-03-03 14:54:00,"Sentiment score: 70
Relatedness: 90"
2020-03-03 15:10:00,"Sentiment score: -10
Relatedness: 70"
2020-03-03 18:06:00,"Sentiment score: 80
Relatedness: 90"
2020-03-03 18:22:00,"Sentiment score: -10
Relatedness: 70"
2020-03-03 19:24:00,"Sentiment score: 60
Relatedness: 20"
2020-03-03 19:50:00,"Sentiment score: -70
Relatedness: 60"
2020-03-03 19:51:00,"Sentiment score: -30
Relatedness: 20"
2020-03-03 19:51:00,"Sentiment score: -70
Relatedness: 60"
2020-03-03 22:12:00,"Sentiment score: 0
Relatedness: 50"
2020-03-03 23:47:00,"Sentiment score: 20
Relatedness: 50"
2020-03-04 03:56:00,"Sentiment score: 20
Relatedness: 30"
2020-03-04 08:28:00,"Sentiment score: 50
Relatedness: 60"
2020-03-04 09:46:00,"Sentiment score: -80
Relatedness: 30"
2020-03-04 10:24:00,"Sentiment score: 0
Relatedness: 80"
2020-03-04 11:33:00,"Sentiment score: -50
Relatedness: 20"
2020-03-04 11:41:00,"Sentiment score: 50
Relatedness: 30"
2020-03-04 12:13:00,"Sentiment score: 20
Relatedness: 70"
2020-03-04 14:58:00,"Sentiment score: -70
Relatedness: 80"
2020-03-04 14:59:00,"Sentiment score: -80
Relatedness: 30"
2020-03-04 15:49:00,"Sentiment score: -70
Relatedness: 90"
2020-03-04 19:02:00,"Sentiment score: -80
Relatedness: 80"
2020-03-04 19:25:00,"Sentiment score: 10
Relatedness: 30"
2020-03-04 21:20:00,"Sentiment score: -20
Relatedness: 50"
2020-03-04 21:32:00,"Sentiment score: 10
Relatedness: 70"
2020-03-04 21:32:00,"Sentiment score: -20
Relatedness: 50"
2020-03-04 21:33:00,"Sentiment score: 60
Relatedness: 80"
2020-03-04 22:31:00,"Sentiment score: -50
Relatedness: 60"
2020-03-04 22:33:00,"Sentiment score: -70
Relatedness: 60"
2020-03-05 04:32:00,"Sentiment score: 75
Relatedness: 80"
2020-03-05 07:14:00,"Sentiment score: -50
Relatedness: 10"
2020-03-05 08:41:00,"Sentiment score: 5
Relatedness: 60"
2020-03-05 09:45:00,"Sentiment score: -70
Relatedness: 60"
2020-03-05 09:56:00,"Sentiment score: -80
Relatedness: 70"
2020-03-05 09:58:00,"Sentiment score: 70
Relatedness: 80"
2020-03-05 10:01:00,"Sentiment score: -70
Relatedness: 60"
2020-03-05 10:01:00,"Sentiment score: -70
Relatedness: 50"
2020-03-05 10:30:00,"Sentiment score: -80
Relatedness: 60"
2020-03-05 10:30:00,"Sentiment score: -70
Relatedness: 80"
2020-03-05 10:32:00,"Sentiment score: -70
Relatedness: 50"
2020-03-05 10:38:00,"Sentiment score: 10
Relatedness: 50"
2020-03-05 10:52:00,"Sentiment score: -80
Relatedness: 85"
2020-03-05 11:13:00,"Sentiment score: -70
Relatedness: 50"
2020-03-05 11:16:00,"Sentiment score: -40
Relatedness: 20"
2020-03-05 11:17:00,"Sentiment score: -50
Relatedness: 30"
2020-03-05 11:24:00,"Sentiment score: 60
Relatedness: 30"
2020-03-05 11:30:00,"Sentiment score: -30
Relatedness: 20"
2020-03-05 11:39:00,"Sentiment score: -30
Relatedness: 20"
2020-03-05 11:55:00,"Sentiment score: -30
Relatedness: 70"
2020-03-05 12:05:00,"Sentiment score: 80
Relatedness: 90"
2020-03-05 12:18:00,"Sentiment score: -80
Relatedness: 20"
2020-03-05 12:27:00,"Sentiment score: 10
Relatedness: 50"
2020-03-05 13:16:00,"Sentiment score: -5
Relatedness: 20"
2020-03-05 13:40:00,"Sentiment score: -80
Relatedness: 60"
2020-03-05 14:21:00,"Sentiment score: -20
Relatedness: 60"
2020-03-05 15:58:00,"Sentiment score: -75
Relatedness: 20"
2020-03-05 16:39:00,"Sentiment score: -20
Relatedness: 70"
2020-03-05 16:54:00,"Sentiment score: -75
Relatedness: 10"
2020-03-05 17:06:00,"Sentiment score: 60
Relatedness: 80"
2020-03-05 17:17:00,"Sentiment score: 60
Relatedness: 80"
2020-03-05 21:40:00,"Sentiment score: -60
Relatedness: 20"
2020-03-05 22:29:00,"Sentiment score: -80
Relatedness: 75"
2020-03-06 07:31:00,"Sentiment score: 40
Relatedness: 60"
2020-03-06 08:38:00,"Sentiment score: 75
Relatedness: 60"
2020-03-06 09:05:00,"Sentiment score: -50
Relatedness: 30"
2020-03-06 09:05:00,"Sentiment score: -70
Relatedness: 90"
2020-03-06 09:35:00,"Sentiment score: -60
Relatedness: 30"
2020-03-06 10:02:00,"Sentiment score: -50
Relatedness: 20"
2020-03-06 10:02:00,"Sentiment score: -10
Relatedness: 20"
2020-03-06 10:09:00,"Sentiment score: 60
Relatedness: 70"
2020-03-06 10:18:00,"Sentiment score: -80
Relatedness: 70"
2020-03-06 10:20:00,"Sentiment score: -70
Relatedness: 85"
2020-03-06 10:49:00,"Sentiment score: -90
Relatedness: 80"
2020-03-06 11:02:00,"Sentiment score: 40
Relatedness: 60"
2020-03-06 11:07:00,"Sentiment score: 20
Relatedness: 80"
2020-03-06 11:29:00,"Sentiment score: -80
Relatedness: 60"
2020-03-06 11:44:00,"Sentiment score: -30
Relatedness: 70"
2020-03-06 11:51:00,"Sentiment score: 70
Relatedness: 90"
2020-03-06 11:56:00,"Sentiment score: -70
Relatedness: 20"
2020-03-06 12:19:00,"Sentiment score: 0
Relatedness: 50"
2020-03-06 14:38:00,"Sentiment score: -60
Relatedness: 30"
2020-03-06 14:51:00,"Sentiment score: -20
Relatedness: 60"
2020-03-06 14:54:00,"Sentiment score: 0
Relatedness: 10"
2020-03-06 15:10:00,"Sentiment score: -45
Relatedness: 70"
2020-03-06 15:28:00,"Sentiment score: 70
Relatedness: 80"
2020-03-06 17:18:00,"Sentiment score: -60
Relatedness: 70"
2020-03-06 19:33:00,"Sentiment score: -80
Relatedness: 50"
2020-03-06 20:27:00,"Sentiment score: -60
Relatedness: 20"
2020-03-06 21:36:00,"Sentiment score: -40
Relatedness: 60"
2020-03-06 22:15:00,"Sentiment score: 50
Relatedness: 70"
2020-03-06 23:37:00,"Sentiment score: 60
Relatedness: 40"
2020-03-07 01:15:00,"Sentiment score: 0
Relatedness: 50"
2020-03-07 02:08:00,"Sentiment score: -80
Relatedness: 60"
2020-03-07 02:44:00,"Sentiment score: -70
Relatedness: 20"
2020-03-07 03:35:00,"Sentiment score: -70
Relatedness: 80"
2020-03-07 03:48:00,"Sentiment score: -80
Relatedness: 70"
2020-03-07 04:51:00,"Sentiment score: 20
Relatedness: 70"
2020-03-07 05:06:00,"Sentiment score: -10
Relatedness: 50"
2020-03-07 05:22:00,"Sentiment score: 60
Relatedness: 80"
2020-03-07 09:56:00,"Sentiment score: -10
Relatedness: 30"
2020-03-07 09:59:00,"Sentiment score: 0
Relatedness: 70"
2020-03-07 10:49:00,"Sentiment score: 60
Relatedness: 80"
2020-03-07 10:59:00,"Sentiment score: 30
Relatedness: 60"
2020-03-07 11:15:00,"Sentiment score: 50
Relatedness: 80"
2020-03-07 16:24:00,"Sentiment score: 30
Relatedness: 70"
2020-03-07 16:56:00,"Sentiment score: -30
Relatedness: 20"
2020-03-07 20:09:00,"Sentiment score: 20
Relatedness: 60"
2020-03-08 01:53:00,"Sentiment score: -80
Relatedness: 60"
2020-03-08 08:50:00,"Sentiment score: 0
Relatedness: 60"
2020-03-08 11:49:00,"Sentiment score: 70
Relatedness: 80"
2020-03-08 11:54:00,"Sentiment score: 0
Relatedness: 50"
2020-03-08 12:44:00,"Sentiment score: -10
Relatedness: 20"
2020-03-08 13:36:00,"Sentiment score: -10
Relatedness: 60"
2020-03-08 14:46:00,"Sentiment score: 50
Relatedness: 70"
2020-03-08 15:55:00,"Sentiment score: -80
Relatedness: 60"
2020-03-08 18:45:00,"Sentiment score: -80
Relatedness: 60"
2020-03-08 19:19:00,"Sentiment score: -50
Relatedness: 30"
2020-03-08 21:10:00,"Sentiment score: 70
Relatedness: 40"
2020-03-08 21:55:00,"Sentiment score: 0
Relatedness: 60"
2020-03-08 23:12:00,"Sentiment score: 0
Relatedness: 40"
2020-03-09 00:46:00,"Sentiment score: 0
Relatedness: 30"
2020-03-09 02:09:00,"Sentiment score: 20
Relatedness: 60"
2020-03-09 05:48:00,"Sentiment score: -70
Relatedness: 50"
2020-03-09 07:05:00,"Sentiment score: 70
Relatedness: 80"
2020-03-09 08:05:00,"Sentiment score: -70
Relatedness: 80"
2020-03-09 08:23:00,"Sentiment score: -80
Relatedness: 50"
2020-03-09 08:31:00,"Sentiment score: 70
Relatedness: 50"
2020-03-09 08:55:00,"Sentiment score: 0
Relatedness: 50"
2020-03-09 08:58:00,"Sentiment score: 0
Relatedness: 20"
2020-03-09 09:11:00,"Sentiment score: -60
Relatedness: 10"
2020-03-09 09:14:00,"Sentiment score: 10
Relatedness: 60"
2020-03-09 09:20:00,"Sentiment score: 55
Relatedness: 70"
2020-03-09 09:22:00,"Sentiment score: -80
Relatedness: 20"
2020-03-09 09:26:00,"Sentiment score: -80
Relatedness: 60"
2020-03-09 09:49:00,"Sentiment score: 70
Relatedness: 60"
2020-03-09 10:00:00,"Sentiment score: -20
Relatedness: 60"
2020-03-09 10:04:00,"Sentiment score: -50
Relatedness: 20"
2020-03-09 10:21:00,"Sentiment score: 0
Relatedness: 80"
2020-03-09 10:22:00,"Sentiment score: 0
Relatedness: 70"
2020-03-09 10:23:00,"Sentiment score: -40
Relatedness: 20"
2020-03-09 10:24:00,"Sentiment score: 0
Relatedness: 20"
2020-03-09 10:25:00,"Sentiment score: 10
Relatedness: 30"
2020-03-09 10:33:00,"Sentiment score: -60
Relatedness: 20"
2020-03-09 10:35:00,"Sentiment score: -50
Relatedness: 20"
2020-03-09 10:42:00,"Sentiment score: -80
Relatedness: 60"
2020-03-09 10:52:00,"Sentiment score: 60
Relatedness: 80"
2020-03-09 11:10:00,"Sentiment score: -70
Relatedness: 60"
2020-03-09 11:11:00,"Sentiment score: -80
Relatedness: 90"
2020-03-09 11:12:00,"Sentiment score: 80
Relatedness: 90"
2020-03-09 11:31:00,"Sentiment score: -70
Relatedness: 60"
2020-03-09 11:47:00,"Sentiment score: -50
Relatedness: 60"
2020-03-09 12:00:00,"Sentiment score: 10
Relatedness: 50"
2020-03-09 12:13:00,"Sentiment score: 0
Relatedness: 70"
2020-03-09 12:29:00,"Sentiment score: 30
Relatedness: 60"
2020-03-09 12:37:00,"Sentiment score: 70
Relatedness: 90"
2020-03-09 12:43:00,"Sentiment score: -30
Relatedness: 10"
2020-03-09 12:51:00,"Sentiment score: 0
Relatedness: 20"
2020-03-09 13:06:00,"Sentiment score: 70
Relatedness: 80"
2020-03-09 13:19:00,"Sentiment score: 0
Relatedness: 50"
2020-03-09 13:27:00,"Sentiment score: 10
Relatedness: 80"
2020-03-09 13:31:00,"Sentiment score: -70
Relatedness: 80"
2020-03-09 13:32:00,"Sentiment score: -70
Relatedness: 20"
2020-03-09 13:35:00,"Sentiment score: 10
Relatedness: 30"
2020-03-09 13:35:00,"Sentiment score: 20
Relatedness: 60"
2020-03-09 13:38:00,"Sentiment score: -70
Relatedness: 40"
2020-03-09 14:03:00,"Sentiment score: 80
Relatedness: 70"
2020-03-09 14:15:00,"Sentiment score: 10
Relatedness: 60"
2020-03-09 14:17:00,"Sentiment score: 65
Relatedness: 80"
2020-03-09 14:22:00,"Sentiment score: 10
Relatedness: 50"
2020-03-09 14:35:00,"Sentiment score: 50
Relatedness: 30"
2020-03-09 14:36:00,"Sentiment score: 0
Relatedness: 30"
2020-03-09 14:41:00,"Sentiment score: -20
Relatedness: 30"
2020-03-09 14:45:00,"Sentiment score: -70
Relatedness: 30"
2020-03-09 15:02:00,"Sentiment score: -20
Relatedness: 70"
2020-03-09 15:04:00,"Sentiment score: 50
Relatedness: 80"
2020-03-09 15:10:00,"Sentiment score: -50
Relatedness: 60"
2020-03-09 15:10:00,"Sentiment score: -70
Relatedness: 40"
2020-03-09 15:18:00,"Sentiment score: 60
Relatedness: 85"
2020-03-09 15:21:00,"Sentiment score: -5
Relatedness: 0"
2020-03-09 15:21:00,"Sentiment score: 0
Relatedness: 50"
2020-03-09 15:24:00,"Sentiment score: -80
Relatedness: 60"
2020-03-09 15:25:00,"Sentiment score: -80
Relatedness: 20"
2020-03-09 15:43:00,"Sentiment score: 80
Relatedness: 90"
2020-03-09 15:49:00,"Sentiment score: -60
Relatedness: 80"
2020-03-09 15:54:00,"Sentiment score: 20
Relatedness: 80"
2020-03-09 16:07:00,"Sentiment score: 30
Relatedness: 50"
2020-03-09 16:14:00,"Sentiment score: -70
Relatedness: 40"
2020-03-09 16:17:00,"Sentiment score: 0
Relatedness: 20"
2020-03-09 16:24:00,"Sentiment score: 10
Relatedness: 30"
2020-03-09 16:32:00,"Sentiment score: 0
Relatedness: 75"
2020-03-09 16:33:00,"Sentiment score: 20
Relatedness: 30"
2020-03-09 16:37:00,"Sentiment score: 60
Relatedness: 70"
2020-03-09 16:49:00,"Sentiment score: -50
Relatedness: 80"
2020-03-09 17:31:00,"Sentiment score: -10
Relatedness: 30"
2020-03-09 17:45:00,"Sentiment score: 50
Relatedness: 70"
2020-03-09 18:07:00,"Sentiment score: 10
Relatedness: 70"
2020-03-09 18:08:00,"Sentiment score: 60
Relatedness: 70"
2020-03-09 18:21:00,"Sentiment score: -80
Relatedness: 40"
2020-03-09 18:33:00,"Sentiment score: -90
Relatedness: 70"
2020-03-09 18:43:00,"Sentiment score: 0
Relatedness: 0"
2020-03-09 18:57:00,"Sentiment score: 25
Relatedness: 70"
2020-03-09 19:08:00,"Sentiment score: -10
Relatedness: 70"
2020-03-09 19:45:00,"Sentiment score: 10
Relatedness: 20"
2020-03-09 20:30:00,"Sentiment score: -60
Relatedness: 20"
2020-03-09 20:41:00,"Sentiment score: -70
Relatedness: 80"
2020-03-09 20:45:00,"Sentiment score: -70
Relatedness: 60"
2020-03-09 20:46:00,"Sentiment score: 0
Relatedness: 70"
2020-03-09 21:01:00,"Sentiment score: 50
Relatedness: 70"
2020-03-09 21:49:00,"Sentiment score: -75
Relatedness: 90"
2020-03-09 22:40:00,"Sentiment score: 10
Relatedness: 80"
2020-03-10 01:12:00,"Sentiment score: 20
Relatedness: 60"
2020-03-10 03:08:00,"Sentiment score: -10
Relatedness: 50"
2020-03-10 04:50:00,"Sentiment score: 0
Relatedness: 50"
2020-03-10 07:04:00,"Sentiment score: 50
Relatedness: 70"
2020-03-10 07:50:00,"Sentiment score: 70
Relatedness: 50"
2020-03-10 09:23:00,"Sentiment score: 50
Relatedness: 70"
2020-03-10 09:45:00,"Sentiment score: 0
Relatedness: 20"
2020-03-10 10:15:00,"Sentiment score: -70
Relatedness: 80"
2020-03-10 10:37:00,"Sentiment score: -70
Relatedness: 60"
2020-03-10 10:42:00,"Sentiment score: -10
Relatedness: 30"
2020-03-10 10:44:00,"Sentiment score: 10
Relatedness: 60"
2020-03-10 10:57:00,"Sentiment score: -20
Relatedness: 10"
2020-03-10 10:58:00,"Sentiment score: 60
Relatedness: 70"
2020-03-10 11:00:00,"Sentiment score: -70
Relatedness: 60"
2020-03-10 11:07:00,"Sentiment score: 40
Relatedness: 70"
2020-03-10 11:17:00,"Sentiment score: 0
Relatedness: 50"
2020-03-10 11:24:00,"Sentiment score: 50
Relatedness: 10"
2020-03-10 11:25:00,"Sentiment score: 60
Relatedness: 80"
2020-03-10 11:36:00,"Sentiment score: -10
Relatedness: 70"
2020-03-10 11:44:00,"Sentiment score: -70
Relatedness: 50"
2020-03-10 11:46:00,"Sentiment score: 50
Relatedness: 70"
2020-03-10 12:06:00,"Sentiment score: 0
Relatedness: 50"
2020-03-10 12:20:00,"Sentiment score: -10
Relatedness: 50"
2020-03-10 12:23:00,"Sentiment score: 0
Relatedness: 60"
2020-03-10 12:27:00,"Sentiment score: 80
Relatedness: 90"
2020-03-10 12:37:00,"Sentiment score: 0
Relatedness: 50"
2020-03-10 12:47:00,"Sentiment score: -70
Relatedness: 60"
2020-03-10 12:56:00,"Sentiment score: 50
Relatedness: 20"
2020-03-10 13:28:00,"Sentiment score: -20
Relatedness: 60"
2020-03-10 13:28:00,"Sentiment score: -70
Relatedness: 50"
2020-03-10 13:29:00,"Sentiment score: 0
Relatedness: 20"
2020-03-10 13:30:00,"Sentiment score: -70
Relatedness: 30"
2020-03-10 13:33:00,"Sentiment score: -70
Relatedness: 60"
2020-03-10 13:37:00,"Sentiment score: 40
Relatedness: 60"
2020-03-10 13:39:00,"Sentiment score: -80
Relatedness: 70"
2020-03-10 13:45:00,"Sentiment score: 70
Relatedness: 20"
2020-03-10 13:50:00,"Sentiment score: -70
Relatedness: 60"
2020-03-10 13:59:00,"Sentiment score: 50
Relatedness: 20"
2020-03-10 14:07:00,"Sentiment score: 10
Relatedness: 50"
2020-03-10 14:22:00,"Sentiment score: 60
Relatedness: 80"
2020-03-10 14:30:00,"Sentiment score: -80
Relatedness: 40"
2020-03-10 14:41:00,"Sentiment score: 0
Relatedness: 50"
2020-03-10 14:44:00,"Sentiment score: 0
Relatedness: 20"
2020-03-10 14:53:00,"Sentiment score: -20
Relatedness: 50"
2020-03-10 15:06:00,"Sentiment score: 65
Relatedness: 60"
2020-03-10 15:13:00,"Sentiment score: -70
Relatedness: 50"
2020-03-10 15:13:00,"Sentiment score: 20
Relatedness: 70"
2020-03-10 15:17:00,"Sentiment score: -30
Relatedness: 10"
2020-03-10 15:20:00,"Sentiment score: -70
Relatedness: 50"
2020-03-10 15:21:00,"Sentiment score: 60
Relatedness: 10"
2020-03-10 15:29:00,"Sentiment score: -10
Relatedness: 30"
2020-03-10 15:40:00,"Sentiment score: 20
Relatedness: 70"
2020-03-10 15:47:00,"Sentiment score: 70
Relatedness: 90"
2020-03-10 16:14:00,"Sentiment score: 85
Relatedness: 70"
2020-03-10 16:19:00,"Sentiment score: -70
Relatedness: 85"
2020-03-10 17:06:00,"Sentiment score: 0
Relatedness: 15"
2020-03-10 19:12:00,"Sentiment score: -70
Relatedness: 40"
2020-03-10 20:05:00,"Sentiment score: 0
Relatedness: 50"
2020-03-10 20:07:00,"Sentiment score: -70
Relatedness: 50"
2020-03-10 20:09:00,"Sentiment score: 0
Relatedness: 20"
2020-03-10 20:12:00,"Sentiment score: -80
Relatedness: 20"
2020-03-10 20:38:00,"Sentiment score: -70
Relatedness: 50"
2020-03-10 21:03:00,"Sentiment score: 0
Relatedness: 25"
2020-03-10 21:06:00,"Sentiment score: -70
Relatedness: 30"
